product_code,title,description,hashtags,features,price,url
JTP140250902OZM,[출발확정] 도쿄/하코네 4일 #후지산절경 #준특급호텔 #디즈니랜드 #해리포터스튜디오 #온천체험,"전일정 준특급 호텔에 숙박하며, 색다른 도쿄를 즐겨보실 수 있는 꽉 찬 일정의 상품입니다.",#관광 #관광 #가족과함께여행#설레는일정선택#아름다운자연경관#도쿄하코네여행#해리포터스튜디오#후지산여행코스#하코네로프웨이탑승#아사쿠사관광#하마리큐온시정원,"3박 4일, 국적기, 쇼핑없음, 단체여행, 인솔자동행, 선택관광없음","1,179,900",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=JTP140250902OZM&prePage=major-products
JOP1312509017CE,[출발확정][홈쇼핑 에디션] 오사카/교토/나라/고베 3일 #교토산책 #금각사 #가성비추천 #쇼핑천국 #일루미네이션즐기기,간사이의 핵심만 담았다! 화려한 도심 오사카와 고즈넉한 교토 그리고 사슴의 도시 나라 그리고 낭만 항구 고베를 모두 즐길 수 있는 상품입니다.,#관광 #관광 #반짝이는밤#역사의향기#사슴과함께#오사카여행#교토관광코스#가성비여행#도톤보리야경#금각사관광#고베하버랜드탐방,"2박 3일, LCC, 쇼핑 1회, 단체여행, 인솔자동행, 가이드경비 JPY 3000, 선택관광없음","609,900",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=JOP1312509017CE&prePage=major-products
JKP130250901TWX,[100%출발확정]★무조건출발★[특가] 규슈/사가/이마리 3일 #완판행진 #레전드패키지 #요즘대세소도시여행 #사가온천호텔2박 #낭만유후인 #핫플라라포트후쿠오카,"여유롭게 사가 소도시 여행을 만끽할 수 있는 추천 패키지 여행 상품입니다. 오픈만 되면 완판행진 레전드 패키지 상품입니다. 고민은 출발만 늦출 뿐, 지금 바로 예약하세요",#관광 #따뜻한온천힐링#소도시의여유#즐거운가족여행#규슈온천여행#사가여행코스#유후인관광#사가온천호텔#벳부지옥온천체험#라라포트후쿠오카,"2박 3일, LCC, 쇼핑 1회, 단체여행, 인솔자동행, 가이드경비 JPY 3000, 선택관광없음","349,900",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=JKP130250901TWX&prePage=major-products
JSP1482509017CW,[출발확정][스마트초이스]홋카이도 4일 #무지개반짝이는 #후라노&비에이 #로프웨이탑승 #전일정스파 #도야불꽃놀이 #3대게무제한,그림같은 풍경이 인상적인 후라노&비에이에서 자연의 신비로움을 만나고 홋카이도의 다양한 맛을 경험해볼 수 있는 일정입니다.,#관광 #관광 #자연속의여유#설레는여행#황홀한풍경#홋카이도여행#후라노비에이관광#도야호수불꽃놀이#우스잔로프웨이체험#오타루운하탐방#삿포로맥주박물관,"3박 4일, LCC, 쇼핑 1회, 단체여행, 인솔자동행, 가이드경비 JPY 4000, 선택관광없음","1,329,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=JSP1482509017CW&prePage=major-products
JWP137250901TWA,[출발확정]오키나와 3일 #갓성비 #나하시내숙박(온천♨) #츄라우미수족관 #오키짱쇼 #국제거리 #아메리칸빌리지 #자유식,나하 시내에 인접한 호텔 숙박으로 오키나와의 핵심 스팟을 알차게 즐길 수 있는 상품입니다.,#관광 #관광 #푸른바다의여유#설레는여행#아름다운인생샷#오키나와여행#나하관광코스#츄라우미수족관#아메리칸빌리지#만좌모관광#우미카지테라스탐방,"2박 3일, LCC, 쇼핑 1회, 단체여행, 인솔자동행, 가이드경비 JPY 3000, 선택관광없음","599,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=JWP137250901TWA&prePage=major-products
JTP140250901TWM,도쿄/하코네 4일 #후지산절경 #준특급호텔 #디즈니랜드 #해리포터스튜디오 #온천체험,"전일정 준특급 호텔에 숙박하며, 색다른 도쿄를 내 마음대로 골라 즐겨보실 수 있는 꽉 찬 일정의 상품입니다.",#관광 #관광 #가족과함께여행#설레는일정선택#자연속힐링#도쿄디즈니랜드#하코네온천체험#후지산관광#하코네관광지투어#도쿄문화체험#도쿄여행코스추천,"3박 4일, LCC, 쇼핑없음, 단체여행, 인솔자동행, 선택관광있음","1,019,900",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=JTP140250901TWM&prePage=major-products
JTP130250901ZEW,도쿄/야마나시/요코하마 3일 #후지산 조망 #온천호텔2박♨ #야마나시 절경 #로프웨이탑승 #MD 추천,도쿄부터 도쿄근교까지 핵심만 콕콕! 야마나시의 절경을 조망하며 인생샷을 남길 수 있는 포인트를 관광하는 일정입니다.,#관광 #관광 #안락한호텔휴식#여행의설렘#자연속의조화#일본여행코스#요코하마가볼곳#온천여행추천#유라쿠조온천체험#쇼센쿄관광#야마시타공원투어,"2박 3일, LCC, 쇼핑 1회, 단체여행, 자유일정포함, 가이드경비 JPY 3000, 선택관광없음","809,900",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=JTP130250901ZEW&prePage=major-products
JOB138250901BXK,오사카 자유여행 3일 #케이한 텐마바시 에키마에 호텔 #4성급호텔 #텐마바시역도보3분 #시내중심숙박 #단풍명소 #도보이동 #스탠다드 세미더블,"미식, 쇼핑, 볼거리 모든 것을 다 갖춘 여행지 오사카에서 나만의 일정을 즐겨보세요.",#관광 #여유로운일상#설레는여행#황홀한경험#오사카자유여행#유니버설스튜디오투어#일본현지투어#케이한텐만바시호텔#오사카햅파이브관람차#교토나라고베투어,"2박 3일, LCC, 쇼핑없음, 단체여행, 자유일정포함, 선택관광없음","349,900",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=JOB138250901BXK&prePage=major-products
JOP1752509017CN,[한정특가] 오사카/USJ/고베 3일 #아침출발_저녁도착 #유니버설스튜디오재팬 #시내중심 #난바숙박 #쇼핑천국 #가성비추천 #낭만항구도시,알찬 2박 3일☆ 오사카의 인기 관광지인 유니버설 스튜디오 재팬을 포함한 오사카의 핵심관광을 모두 경험하실 수 있는 가성비 좋은 상품입니다.,#관광 #관광 #여유로운오사카여행#설레는유니버설스튜디오#황홀한고베야경#오사카여행추천#유니버설스튜디오관람#고베관광코스#고베하버랜드탐방#도톤보리맛집투어#오사카성관광,"2박 3일, LCC, 쇼핑 1회, 단체여행, 인솔자동행, 가이드경비 JPY 3000, 선택관광없음","709,900",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=JOP1752509017CN&prePage=major-products
JKP140250901TWO,규슈 4일 #자연속힐링온천 #기사가이드팁포함 #힐튼호텔 #하이플로워업그레이드 #쿠쥬꽃공원 #아소대관봉 #유후인&벳부 #맛있는여행,벳푸역 주변 온천호텔과 자연 속 온천호텔 숙박&특급호텔 '힐튼 후쿠오카 씨호크' 까지. 광활한 자연을 품은 이색 관광지는 물론 알차게 3박 4일 여행을 즐겨보세요!,#힐링휴양 #관광 #물의도시야나가와#온천의여유#따뜻한여행#규슈온천여행#유후인관광코스#벳부여행추천#벳부가마도지옥체험#아소대관봉관광#하카타포트타워탐방,"3박 4일, LCC, 쇼핑없음, 단체여행, 인솔자동행, 가이드경비없음, 선택관광없음","999,900",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=JKP140250901TWO&prePage=major-products
EWP131250901KEE,[출발확정]서유럽 4국 10일 #전 일정 4성 #시내호텔1박 #융프라우 #에펠탑/세느강 유람선 #베네치아 대운하투어 #토스카나 와이너리 #런던,"서유럽 베스트셀러!! 서유럽을 대표하는 영국, 프랑스,스위스,이탈리아를 여유롭고 깊이있게 관광하는 알찬 여행입니다.",#다이닝/미식 #관광 #유럽의로맨틱#고요한유럽여행#여유로운탐방#서유럽여행#유럽관광코스#유럽식도락여행#파리유람선투어#베네치아대운하투어#융프라우등정투어,"8박 10일, 국적기, 쇼핑없음, 단체여행, 인솔자동행, 가이드경비없음, 선택관광없음","6,359,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=EWP131250901KEE&prePage=major-products
EWP141250901KEA,이탈리아 일주 9일#5성급 1박+시내1박 #12대특식 #2대옵션포함 #친퀘테레 #토스카나 와이너리,"1개국만 알찬 일정으로 역사와 문화, 예술이 가득한 이탈리아를 관광하는 상품입니다.",#관광+자유#관광 #관광 #로마의낭만#친퀘테레의아름다움#이탈리아의맛있는여행#이탈리아여행#친퀘테레투어#로마관광추천#베네치아대운하투어#몬테풀치아노와이너리#피사의사탑관광,"7박 9일, 국적기, 쇼핑없음, 단체여행, 인솔자동행, 가이드경비없음, 선택관광있음","6,689,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=EWP141250901KEA&prePage=major-products
EWP136250901TKZ,[비즈니스탑승] 이탈리아 스위스 9일#시내호텔1박 #융프라우요흐 #리기산악열차 #티볼리빌라데스테 #로마벤츠투어 #베네치아대운하,청정자연 스위스와 유네스코 세계 문화 유산의 천국 이탈리아를 관광하는 서유럽 2개국 상품입니다.,#관광 #관광 #환상적인로마#자연속여유#두근거리는여행#노쇼핑여행#유럽투어전문#여행코스추천#로마관광지투어#베네치아여행#인터라켄자연체험,"7박 9일, 외국항공경유있음, 쇼핑없음, 단체여행, 인솔자동행, 가이드경비없음, 선택관광없음","7,849,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=EWP136250901TKZ&prePage=major-products
